Just looking at him makes me  M_go M_weak at the M_knees .
I don’t expect you to be impressed – it must seem very  M_small M_beer /potatoes to you.
I’d rather be a  M_big M_fish in a M_little M_pond  than the other way around.
"The soldiers were all drunk, and they behaved like  M_animals ."
You greedy  M_pig !
That little  M_rat  has been spying on us.
"Don’t talk to me, you miserable  M_worm ."
It’s time to take action against these  M_sharks  who prey on the poor.
The press were gathering outside her house like  M_vultures .
"I know what you’re up to, you dirty  M_dog ."
His wife was a  M_mousy  little woman.
"You little  M_monkey , have you been playing with my stuff again?"
"There’s nothing to be afraid of, you silly  M_goose ."
"She’s a very original writer, and has never been one to follow the  M_herd ."
"He seems tough, but he’s a  M_pussycat  when you get to know him."
Most people are like  M_sheep  – they just do what everyone else does.
"He described his opponents as  M_dinosaurs , out of touch with present day reality."
She is one of the  M_brightest  children in the class.
He is the most  M_brilliant  scholar in his field.
She  M_shines  at languages.
She  M_outshines  everyone else.
I had a sudden  M_flash  of inspiration.
I admired his  M_dazzling /sparkling wit.
He never said anything and seemed a bit  M_dim .
This is the work of a very  M_dull  mind.
He’s very  M_sharp /sharp-witted: he notices everything.
She has a  M_razor-sharp  mind.
I want to  M_cut  through the waffle and get straight to the point.
We carefully  M_dissected  the problem.
He has a  M_keen  intellect.
They made some  M_pointed  remarks.
He was an  M_incisive  critic.
The biography mainly dealt with his years at the  M_top .
Many people commented on his rapid  M_ascent  up the ladder.
Their new album  M_climbed /rose to second position in the charts.
They are  M_riding M_high  in the opinion polls.
They are  M_riding on the M_crest of a M_wave  at the moment.
She is at the  M_peak /pinnacle of her career.
Not many people reach those  M_dizzy M_heights .
The government  M_fell  from power.
We are studying the  M_fall  of the Roman Empire.
His political ambition led to his  M_downfall .
The Wall Street  M_crash  took place in 1929.
"After that, she hit  M_rock M_bottom ."
Another leading player has been  M_toppled  in the tournament.
His comments went down like a  M_lead M_balloon .
A year later his career  M_nosedived .
Another dot.com is about to  M_bite the M_dust .
"I’m very sorry, I never intended to  M_mislead  anyone."
He was  M_led M_astray  by the other boys.
I found out I’d been  M_taken for a M_ride .
Ann was furious when she discovered she’d been  M_led M_up/down the M_garden M_path .
Do you think he’s just  M_leading  her on?
The gang  M_laid  a false trail to throw investigators off the scent.
The ship acted as a  M_decoy  while the troops landed on another beach.
It had all been a  M_wild-goose M_chase .
I think they’ve been  M_giving  us the runaround.
This  M_opened  the door to a new way of life.
He was on the  M_threshold  of an exciting new career.
Having a degree  M_unlocked  many opportunities.
What would you say is the  M_key  to success?
The company has several  M_openings  for trainees.
Not everyone had  M_access  to higher education.
I felt that I had got my job by the  M_back M_door .
We operate an  M_open M_door M_policy .
Opportunity came  M_knocking .
The band had been  M_knocking at the M_door  for some time before their first hit record.
She felt that all  M_doors  were barred/bolted/closed against her.
Age is no  M_barrier  to success.
I’ve got a  M_window  on Friday afternoon: I could see you then.
The news has  M_hit  him really hard.
The news  M_came as M_quite a M_blow .
I was  M_reeling  from the shock.
It had a huge  M_impact  on them.
We were very  M_moved /touched by her story.
It was very  M_upsetting .
It  M_shook  us to the core.
He made a  M_stirring  speech about duty and loyalty.
I was  M_bowled over /blown away by her.
I felt very  M_torn : I didn’t know what to do.
You’ve  M_injured /hurt her feelings.
She made some very  M_hurtful  remarks.
It  M_pains  me to see you like this.
It was  M_agony  waiting for the results.
Sam looked a bit  M_knocked M_back  by the news.
"Her ego is  M_bruised , but she’ll get over it."
"It’s a disappointment, I know, but you’ll just have to  M_take it on the M_chin ."
"This term, we will be  M_exploring  the psychology of sport."
"In today’s class, I will  M_map out  the most important concepts."
We can  M_approach  the subject from several directions.
Can you give me a few  M_pointers ? What should I read first?
It is an excellent  M_guide  to English vocabulary.
The program allows you to  M_navigate  the Web more easily.
The first  M_step  in learning a language is to learn its sounds.
This aspect of his work is very much  M_uncharted M_territory .
We’re  on M_surer/more M_familiar M_ground  here.
New students have to take an  M_orientation  course.
Allow me to  M_shed/throw some M_light  on the matter.
Can you  M_enlighten  me as to what your intentions are?
There are a couple of points that I’d like you to  M_clear up .
Her work has greatly  M_illuminated  this aspect of the subject.
This  M_spotlights /highlights the problems of bilingual children.
He kept us  in the M_dark  about his plans.
The book concerns the  M_shadowy  world of espionage.
I only have a  M_dim  recollection of what happened next.
I haven’t got the  M_foggiest /faintest idea.
Their ideas were  M_based /built on many years of practical experience.
It was a carefully  M_constructed  theory.
Your accusations are without  M_foundation .
It proved to be a  M_groundbreaking  new idea.
It gave us a suitable  M_frame of M_reference .
This helped  M_buttress /underpin his arguments.
She completely  M_demolished  his argument.
The theory  M_collapsed /fell apart after he produced new data.
This will help us  M_explode  widespread myths about retirement.
The idea  M_grew  in her mind until she could think of nothing else.
I had already  M_planted the M_idea  in their minds.
I had  M_sown the M_seeds  of doubt.
The idea  M_germinated  slowly in his mind.
This belief quickly  M_took M_root .
These beliefs are  M_deep-rooted .
What does this idea  M_stem  from?
She has a  M_fertile  imagination.
It was a  M_fruitful  line of research.
The work shows evidence of  M_cross-fertilization  from many disciplines.
We have been  M_close  friends since we were five.
We were  M_inseparable  as children.
"The very first time that they met, they  M_bonded  immediately."
I was very  M_attached  to him.
The school encourages  M_links  between students and local businesses.
He was left some money by a  M_distant  relative.
 M_Cracks  appeared in the relationship.
There was a growing  M_rift  between president and vice-president.
The book describes the deep  M_divisions  within the government.
The party was  M_torn M_apart .
She had just  M_split /broken up with her boyfriend.
My parents  M_separated  when I was very young.
We are both committed to  M_mending  our marriage.
The visit is part of an attempt to  M_repair  the relationship between the two governments.
I’m glad to see that you two have  M_patched M_things up .
The meeting was designed mainly as a  M_fence-mending  exercise.
The first step is to  M_build M_bridges  with the other side.
She’s very good at  M_smoothing over  the differences between conflicting parties.
The agreement did no more than  M_paper over the M_cracks .
There are a number of national  M_bodies  that work in this area.
He is  M_head  of a large corporation.
They  M_head up  the overseas section.
The research  M_arm /wing of the company was based in Palo Alto.
She served as the  M_mouthpiece  of the organization.
The public  M_face  of the corporation is environmentally friendly.
Only a  M_skeleton  staff worked during the holiday period.
These three departments form the  M_backbone  of our operation.
There were active  M_cells  in many villages along the border.
Who is the  M_brains  behind this initiative?
 M_Entry-level  jobs are never well-paid.
You need to get  in on the M_ground M_floor .
A lot of women in the company have complained about the  M_glass M_ceiling .
This is the responsibility of people  in M_high M_places .
His diaries recorded life in the  M_corridors of M_power .
The decisions were made  M_behind M_closed M_doors .
"If you ever do it again, you’ll be  out of the M_door ."
I haven’t got any  M_burning  interest in modern art.
It’s the  M_hottest  show in town.
Things  M_heated up /hotted up as soon as the music started.
The audience was at  M_fever M_pitch .
The book was received  M_warmly .
He certainly has  M_fire in  his belly.
She’s always very  M_sparky .
They seemed very  M_lukewarm  when I mentioned it to them.
Her response to the suggestion was  M_tepid .
She  M_poured M_cold M_water on  all my suggestions.
The party turned out to be a  M_damp M_squib .
"He  M_blows M_hot and M_cold  all the time, and I never know where I am with him."
We have been  M_close  friends since we were five.
